Image File,Comment [Bivalent path],Bivalent length in microns,Pachytene stage,Good trace? (y/n)
WT_15.11.19_plant22_slide2_image10,2,76.759,late,y
WT_15.11.19_plant22_slide2_image10,3,49.295,late,y
WT_15.11.19_plant22_slide2_image10,4,46.551,late,y
WT_15.11.19_plant22_slide2_image10,5,73.706,late,y
WT_15.11.19_plant22_slide2_image11,1,60.8059,late,y
WT_15.11.19_plant22_slide2_image11,2,67.5094,late,y
WT_15.11.19_plant22_slide2_image11,3,50.1771,late,y
WT_15.11.19_plant22_slide2_image11,4,46.4813,late,y
WT_15.11.19_plant22_slide2_image11,5,42.8588,late,y
WT_15.11.19_plant22_slide2_image12,1,56.3784,late,y
WT_15.11.19_plant22_slide2_image12,2,64.4884,late,y
WT_15.11.19_plant22_slide2_image12,3,39.0525,late,y
WT_15.11.19_plant22_slide2_image12,4,47.2892,late,y
WT_15.11.19_plant22_slide2_image12,5,38.0624,late,y
WT_15.11.19_plant22_slide2_image14,1,64.2922,late,y
WT_15.11.19_plant22_slide2_image14,2,39.2728,late,y
WT_15.11.19_plant22_slide2_image14,3,53.8861,late,y
WT_15.11.19_plant22_slide2_image14,4,42.794,late,y
WT_15.11.19_plant22_slide2_image14,5,48.0179,late,y
WT_15.11.19_plant22_slide2_image15,1,38.6795,late,y
WT_15.11.19_plant22_slide2_image15,2,36.0125,late,y
WT_15.11.19_plant22_slide2_image15,3,53.3824,late,y
WT_15.11.19_plant22_slide2_image15,4,61.9213,late,y
WT_15.11.19_plant22_slide2_image15,5,47.2616,late,y
WT_15.11.19_plant22_slide2_image16,1,51.5593,late,y
WT_15.11.19_plant22_slide2_image16,2,43.8922,late,y
WT_15.11.19_plant22_slide2_image16,3,63.696,late,y
WT_15.11.19_plant22_slide2_image16,4,40.6207,late,y
WT_15.11.19_plant22_slide2_image16,5,57.2163,late,y
WT_15.11.19_plant22_slide2_image17,1,56.6315,late,y
WT_15.11.19_plant22_slide2_image17,2,49.8352,late,y
WT_15.11.19_plant22_slide2_image17,3,69.6426,late,y
WT_15.11.19_plant22_slide2_image17,4,48.7942,late,y
WT_15.11.19_plant22_slide2_image17,5,64.714,late,y
WT_15.11.19_plant22_slide2_image18,1,44.8964,late,y
WT_15.11.19_plant22_slide2_image18,2,54.8349,late,y
WT_15.11.19_plant22_slide2_image18,3,40.1415,late,y
WT_15.11.19_plant22_slide2_image18,4,41.2993,late,y
WT_15.11.19_plant22_slide2_image18,5,56.7347,late,y
WT_15.11.19_plant22_slide2_image20,1,44.872,late,y
WT_15.11.19_plant22_slide2_image20,2,37.9664,late,y
WT_15.11.19_plant22_slide2_image20,3,53.3362,late,y
WT_15.11.19_plant22_slide2_image20,4,38.8045,late,y
WT_15.11.19_plant22_slide2_image20,5,59.7316,late,y
WT_15.11.19_plant22_slide2_image21.1,1,39.4973,late,y
WT_15.11.19_plant22_slide2_image21.1,2,34.6193,late,y
WT_15.11.19_plant22_slide2_image21.1,3,38.3161,late,y
WT_15.11.19_plant22_slide2_image21.1,4,51.2259,late,y
WT_15.11.19_plant22_slide2_image21.1,5,57.9002,late,y
WT_15.11.19_plant22_slide2_image21.2,1,37.7645,late,y
WT_15.11.19_plant22_slide2_image21.2,2,43.1026,late,y
WT_15.11.19_plant22_slide2_image21.2,3,63.872,late,y
WT_15.11.19_plant22_slide2_image21.2,4,50.1174,late,y
WT_15.11.19_plant22_slide2_image21.2,5,54.9743,late,y
WT_15.11.19_plant22_slide2_image22,1,39.688,late,y
WT_15.11.19_plant22_slide2_image22,2,58.7998,late,y
WT_15.11.19_plant22_slide2_image22,3,45.7379,late,y
WT_15.11.19_plant22_slide2_image22,4,40.822,late,y
WT_15.11.19_plant22_slide2_image22,5,66.0238,late,y
WT_15.11.19_plant22_slide2_image25,1,50.4007,late,y
WT_15.11.19_plant22_slide2_image25,2,39.4202,late,y
WT_15.11.19_plant22_slide2_image25,3,65.8949,late,y
WT_15.11.19_plant22_slide2_image25,4,36.7975,late,y
WT_15.11.19_plant22_slide2_image25,5,55.4004,late,y
WT_15.11.19_plant22_slide2_image28,1,48.4794,late,y
WT_15.11.19_plant22_slide2_image28,2,39.8576,late,y
WT_15.11.19_plant22_slide2_image28,3,38.1081,late,y
WT_15.11.19_plant22_slide2_image28,4,53.0531,late,y
WT_15.11.19_plant22_slide2_image28,5,45.0398,late,y
WT_15.11.19_plant22_slide2_image29,1,90.6004,late,n
WT_15.11.19_plant22_slide2_image29,2,88.2396,late,y
WT_15.11.19_plant22_slide2_image29,3,74.7996,late,n
WT_15.11.19_plant22_slide2_image29,4,63.0298,late,y
WT_15.11.19_plant22_slide2_image29,5,73.2111,late,y
WT_15.11.19_plant22_slide1_image1.1,1,50.3072,mid/late,y
WT_15.11.19_plant22_slide1_image1.1,2,63.2988,mid/late,y
WT_15.11.19_plant22_slide1_image1.1,3,38.8074,mid/late,y
WT_15.11.19_plant22_slide1_image1.1,4,39.0628,mid/late,y
WT_15.11.19_plant22_slide1_image1.1,5,62.5254,mid/late,y
